NOMEUC;CODUC;PROCESSO;EMPREENDIMENTO;EMPREENDEDOR;DESTINACAO;APLICACAO;ACAODEST;ACAOAPL;REUNIAO;TIPO;DATA
PARQUE NATURAL MUNICIPAL DO MANGUEZAL DE ITANGUá;0130.32.2598;02001.000268/2016-32;ATIVID PERFURAÇÃO B.CAMPOS AGBC;PETROBRAS;;300000;;1;66;O;03/15/18
PARQUE NATURAL MUNICIPAL DO MONTE MOCHUARA;0130.32.2600;02001.000832/2016-17;Compensação ambiental da Área Geográfica do Espírito Santo - AGES;PETROBRAS;;285728,19;;1;66;O;03/15/18
PARQUE NATURAL MUNICIPAL DO MONTE MOCHUARA;0130.32.2600;02001.000268/2016-32;ATIVID PERFURAÇÃO B.CAMPOS AGBC;PETROBRAS;;300000;;1;66;O;03/15/18
PARQUE ESTADUAL DA FONTE GRANDE;0530.32.2644;02001.000832/2016-17;Compensação ambiental da Área Geográfica do Espírito Santo - AGES;PETROBRAS;;10000;;3;66;O;03/15/18
PARQUE NATURAL MUNICIPAL DE TABUAZEIRO;0530.32.2645;02001.000832/2016-17;Compensação ambiental da Área Geográfica do Espírito Santo - AGES;PETROBRAS;;50000;;1;66;O;03/15/18
PARQUE NATURAL MUNICIPAL DE TABUAZEIRO;0530.32.2645;02001.000832/2016-17;Compensação ambiental da Área Geográfica do Espírito Santo - AGES;PETROBRAS;;100000;;2;66;O;03/15/18
PARQUE NATURAL MUNICIPAL DE TABUAZEIRO;0530.32.2645;02001.000832/2016-17;Compensação ambiental da Área Geográfica do Espírito Santo - AGES;PETROBRAS;;10000;;3;66;O;03/15/18
PARQUE NATURAL MUNICIPAL GRUTA DA ONçA;0530.32.2646;02001.000268/2016-32;ATIVID PERFURAÇÃO B.CAMPOS AGBC;PETROBRAS;;1261000;;2;66;O;03/15/18
PARQUE NATURAL MUNICIPAL GRUTA DA ONçA;0530.32.2646;02001.000832/2016-17;Compensação ambiental da Área Geográfica do Espírito Santo - AGES;PETROBRAS;;241456,39;;3;66;O;03/15/18
PARQUE NATURAL MUNICIPAL PEDRA DOS OLHOS;0530.32.2648;02001.000268/2016-32;ATIVID PERFURAÇÃO B.CAMPOS AGBC;PETROBRAS;;509000;;1;66;O;03/15/18
PARQUE NATURAL MUNICIPAL PEDRA DOS OLHOS;0530.32.2648;02001.000832/2016-17;Compensação ambiental da Área Geográfica do Espírito Santo - AGES;PETROBRAS;;140000;;2;66;O;03/15/18
PARQUE NATURAL MUNICIPAL VALE DO MULEMBá;0530.32.2649;02001.000832/2016-17;Compensação ambiental da Área Geográfica do Espírito Santo - AGES;PETROBRAS;;10000;;2;66;O;03/15/18
PARQUE NATURAL MUNICIPAL VON SCHILGEN;0530.32.2650;02001.000268/2016-32;ATIVID PERFURAÇÃO B.CAMPOS AGBC;PETROBRAS;;330000;;1;66;O;03/15/18
PARQUE ESTADUAL DA COSTA DO SOL;0000.33.2732;02001.005987/2014-88;GASODUTO ROTA CABIÚNAS;PETROBRAS;;467663,48;;3;66;O;03/15/18
PARQUE NATURAL MUNICIPAL NASCENTE DO JAIBI;0185.33.3335;02001.006569/2016-70;SISTEMA DE PROD E ESC DE PETRÓLEO E GÁS NATURAL - C DE ESPADARTE E ÁREA LESTE DE MARIMBÁ - B CAMPOS;PETROBRAS;;200000;;3;66;O;03/15/18
ÁREA DE PROTEÇÃO AMBIENTAL CHAPADA DO ARARIPE;0000.00.0008;02001.002626/2014-80;LT 500 KV SÃO JOÃO DO PIAUÍ-MILAGRES II- LUIS GONZAGA;ATE XIX TRANSMISSORA DE ENERGIA S.A.;700000;;3;;67;O;03/28/18
PARQUE NACIONAL DA TIJUCA;0000.00.0154;02001.004364/2004-16;GASODUTO CAMPINAS - RIO;NOVA TRANSPORTADORA DO SUDESTE S/A - NTS;;5987011,45;;3;67;O;03/28/18
PARQUE NACIONAL DO CABO ORANGE;0000.00.0169;02001.004605/2013-18;Perfuração Marítima no Bloco BM-FZA Bacia da Foz do Amazonas;PETROBRAS;;170758;;3;67;O;03/28/18
RESERVA BIOLOGICA DE PEDRA TALHADA;0000.00.0197;02001.002626/2014-80;LT 500 KV SÃO JOÃO DO PIAUÍ-MILAGRES II- LUIS GONZAGA;ATE XIX TRANSMISSORA DE ENERGIA S.A.;1000000;;1;;67;O;03/28/18
RESERVA BIOLÓGICA DO TINGUÁ;0000.00.0212;02001.004364/2004-16;GASODUTO CAMPINAS - RIO;NOVA TRANSPORTADORA DO SUDESTE S/A - NTS;;767578,22;;3;67;O;03/28/18
RESERVA BIOLÓGICA DE POÇO DAS ANTAS;0000.00.0215;02001.004364/2004-16;GASODUTO CAMPINAS - RIO;NOVA TRANSPORTADORA DO SUDESTE S/A - NTS;;1000000;;3;67;O;03/28/18
ESTAÇÃO ECOLÓGICA DA GUANABARA;0000.00.0263;02001.004364/2004-16;GASODUTO CAMPINAS - RIO;NOVA TRANSPORTADORA DO SUDESTE S/A - NTS;;500000;;3;67;O;03/28/18
ÁREA DE PROTEÇÃO AMBIENTAL DE TAMOIOS;0000.33.0731;02001.007157/2005-02;Ampliação do Prédio de Monitoração do Centro de Rejeitos de Rejeitos e do Depósito 2B da CNAAA.;ELETROBRÁS TERMONUCLEAR S.A.;;101767,33;;2;67;O;03/28/18
MONUMENTO NATURAL DO RIO SãO FRANCISCO;0000.00.1812;02001.002626/2014-80;LT 500 KV SÃO JOÃO DO PIAUÍ-MILAGRES II- LUIS GONZAGA;ATE XIX TRANSMISSORA DE ENERGIA S.A.;300000;;2;;67;O;03/28/18
PARQUE NATURAL MUNICIPAL GOIAPABA-AçU;0220.32.2039;02001.000832/2016-17;Compensação ambiental da Área Geográfica do Espírito Santo - AGES;PETROBRAS;;571456,39;;2;67;O;03/28/18
PARQUE ESTADUAL DA LAGOA DO AÇU;0000.33.2721;02001.008132/2011-66;SISTEMA DE PROD. E ESCOAMENTO DE OLEO E GAS - C. MARLIM LESTE - B. DE CAMPOS - PLATAFORMA FPU P-53;PETROBRAS;;500000;;3;67;O;03/28/18
PARQUE ESTADUAL DA COSTA DO SOL;0000.33.2732;02001.000447/2016-70;COMPENSAÇÃO AMBIENTAL TESTE DE LONGA DURAÇÃO NE DE TUPI;PETROBRAS;;343997,52;;3;67;O;03/28/18
PARQUE NATURAL MUNICIPAL ELCI ROLLA GUERRA;6100.31.3028;02001.004257/2007-31;Mineroduto Minas - Rio;ANGLO AMERICAN MINÉRIO DE FERRO BRASIL S/A;;;;;67;O;03/28/18
ESTAÇÃO ECOLÓGICA SERRA DA CANOA;0000.26.3312;02001.002626/2014-80;LT 500 KV SÃO JOÃO DO PIAUÍ-MILAGRES II- LUIS GONZAGA;ATE XIX TRANSMISSORA DE ENERGIA S.A.;185226,7;;0;;67;O;03/28/18
REFúGIO DA VIDA SILVESTRE TATU-BOLA;0000.26.3318;02001.002626/2014-80;LT 500 KV SÃO JOÃO DO PIAUÍ-MILAGRES II- LUIS GONZAGA;ATE XIX TRANSMISSORA DE ENERGIA S.A.;185226,7;;0;;67;O;03/28/18
PARQUE NATURAL MUNICIPAL RIBEIRÃO DA PRATA;1830.52.3515;02001.006468/2015-18;LT 500kV Barreiras II - Rio das Éguas - Luziânia - Pirapora 2;PARANAÍBA TRANSMISSORA DE ENERGIA S.A;;100000;;2;67;O;03/28/18
PARQUE NACIONAL DAS EMAS;0000.00.0155;02001.001290/2012-76;LINHA DE TRANSMISSÃO 500 KV CUIABÁ-RIBEIRÃOZINHO-RIO VERDE;CATXERE TRANSMISSORA DE ENERGIA S.A.;;1587649,25;;3;68;O;04/25/18
PARQUE NACIONAL DO ITATIAIA;0000.00.0184;02001.006353/2005-51;UHE Simplício;FURNAS;;;;;68;O;04/25/18
ESTAÇÃO ECOLÓGICA DE CORUMBÁ;0000.31.0366;02001.121054/2017-80;LT em Corrente Contínua (CC) 800 kV Xingu;XINGU RIO TRANSMISSORA DE ENERGIA S.A;400000;;0;;68;O;04/25/18
PARQUE ESTADUAL SERRA DO PAPAGAIO;0000.31.0406;02001.121054/2017-80;LT em Corrente Contínua (CC) 800 kV Xingu;XINGU RIO TRANSMISSORA DE ENERGIA S.A;400000;;0;;68;O;04/25/18
ESTAÇÃO ECOLÓGICA DE SAGARANA;0000.31.0417;02001.121054/2017-80;LT em Corrente Contínua (CC) 800 kV Xingu;XINGU RIO TRANSMISSORA DE ENERGIA S.A;400000;;0;;68;O;04/25/18
PARQUE ESTADUAL CAMPOS ALTOS;0000.31.0889;02001.121054/2017-80;LT em Corrente Contínua (CC) 800 kV Xingu;XINGU RIO TRANSMISSORA DE ENERGIA S.A;400000;;0;;68;O;04/25/18
PARQUE ESTADUAL ALTAMIRO DE MOURA PACHECO;0000.52.0899;02001.121054/2017-80;LT em Corrente Contínua (CC) 800 kV Xingu;XINGU RIO TRANSMISSORA DE ENERGIA S.A;166666;;0;;68;O;04/25/18
REFÚGIO ESTADUAL DE VIDA SILVESTRE LIBÉLULAS DA SERRA DE SÃO JOSÉ;0000.31.0937;02001.121054/2017-80;LT em Corrente Contínua (CC) 800 kV Xingu;XINGU RIO TRANSMISSORA DE ENERGIA S.A;400000;;0;;68;O;04/25/18
ÁREA DE PROTEÇÃO AMBIENTAL DAS DUNAS DE PARACURU;0000.23.0957;02001.000569/2014-02;PROJ AMPLI SIST INJEÇÃO ÁGUA CAMPO UBARANA B.POTIGUAR;PETROBRAS;;100000;;8;68;O;04/25/18
PARQUE ESTADUAL MATA DA PIPA;0000.24.1473;02001.000569/2014-02;PROJ AMPLI SIST INJEÇÃO ÁGUA CAMPO UBARANA B.POTIGUAR;PETROBRAS;;150000;;1;68;O;04/25/18
"PARQUE ESTADUAL DUNAS DE NATAL "" JORNALISTA LUIZ MARIA ALVES";0000.24.1475;02001.000569/2014-02;PROJ AMPLI SIST INJEÇÃO ÁGUA CAMPO UBARANA B.POTIGUAR;PETROBRAS;;150000;;1;68;O;04/25/18
PARQUE ESTADUAL DA SERRA DA CONCÓRDIA;0000.33.1480;02001.121054/2017-80;LT em Corrente Contínua (CC) 800 kV Xingu;XINGU RIO TRANSMISSORA DE ENERGIA S.A;250000;;0;;68;O;04/25/18
RESERVA BIOLÓGICA ESTADUAL DE GUARATIBA;0000.33.1482;02001.121054/2017-80;LT em Corrente Contínua (CC) 800 kV Xingu;XINGU RIO TRANSMISSORA DE ENERGIA S.A;250000;;0;;68;O;04/25/18
RESERVA BIOLÓGICA DE ARARAS;0000.33.1483;02001.121054/2017-80;LT em Corrente Contínua (CC) 800 kV Xingu;XINGU RIO TRANSMISSORA DE ENERGIA S.A;250000;;0;;68;O;04/25/18
PARQUE ESTADUAL DO JALAPãO;0000.17.1486;02001.121054/2017-80;LT em Corrente Contínua (CC) 800 kV Xingu;XINGU RIO TRANSMISSORA DE ENERGIA S.A;250000;;0;;68;O;04/25/18
PARQUE ESTADUAL DO CANTãO;0000.17.1487;02001.121054/2017-80;LT em Corrente Contínua (CC) 800 kV Xingu;XINGU RIO TRANSMISSORA DE ENERGIA S.A;250000;;0;;68;O;04/25/18
PARQUE ESTADUAL DO LAJEADO;0000.17.1488;02001.121054/2017-80;LT em Corrente Contínua (CC) 800 kV Xingu;XINGU RIO TRANSMISSORA DE ENERGIA S.A;250000;;0;;68;O;04/25/18
MONUMENTO NATURAL DAS ÁRVORES FOSSILIZADAS;0000.17.1489;02001.121054/2017-80;LT em Corrente Contínua (CC) 800 kV Xingu;XINGU RIO TRANSMISSORA DE ENERGIA S.A;250000;;0;;68;O;04/25/18
AREA DE PROTEçãO AMBIENTAL DO RIO GUANDU;0000.33.1512;02001.121054/2017-80;LT em Corrente Contínua (CC) 800 kV Xingu;XINGU RIO TRANSMISSORA DE ENERGIA S.A;250000;;0;;68;O;04/25/18
PARQUE ESTADUAL DA SERRA DE CALDAS NOVAS;0000.52.1738;02001.121054/2017-80;LT em Corrente Contínua (CC) 800 kV Xingu;XINGU RIO TRANSMISSORA DE ENERGIA S.A;166666;;0;;68;O;04/25/18
PARQUE ESTADUAL DOS PIRINEUS;0000.52.1739;02001.121054/2017-80;LT em Corrente Contínua (CC) 800 kV Xingu;XINGU RIO TRANSMISSORA DE ENERGIA S.A;166666;;0;;68;O;04/25/18
PARQUE ESTADUAL DE TERRA RONCA;0000.52.1740;02001.121054/2017-80;LT em Corrente Contínua (CC) 800 kV Xingu;XINGU RIO TRANSMISSORA DE ENERGIA S.A;166666;;0;;68;O;04/25/18
PARQUE ESTADUAL DO DESCOBERTO;0000.52.1746;02001.121054/2017-80;LT em Corrente Contínua (CC) 800 kV Xingu;XINGU RIO TRANSMISSORA DE ENERGIA S.A;166666;;0;;68;O;04/25/18
PARQUE ESTADUAL DA MATA ATLÂNTICA;0000.52.1747;02001.121054/2017-80;LT em Corrente Contínua (CC) 800 kV Xingu;XINGU RIO TRANSMISSORA DE ENERGIA S.A;166666;;0;;68;O;04/25/18
PARQUE NATURAL MUNICIPAL DA SERRA DO MENDANHA;0455.33.1769;02001.121054/2017-80;LT em Corrente Contínua (CC) 800 kV Xingu;XINGU RIO TRANSMISSORA DE ENERGIA S.A;200000;;2;;68;O;04/25/18
PARQUE NATURAL MUNICIPAL FAZENDA DO VIEGAS;0455.33.1778;02001.121054/2017-80;LT em Corrente Contínua (CC) 800 kV Xingu;XINGU RIO TRANSMISSORA DE ENERGIA S.A;89784,79;;3;;68;O;04/25/18
PARQUE ESTADUAL SERRA DA BOA ESPERANÇA;0000.31.1780;02001.121054/2017-80;LT em Corrente Contínua (CC) 800 kV Xingu;XINGU RIO TRANSMISSORA DE ENERGIA S.A;400000;;0;;68;O;04/25/18
PARQUE NATURAL MUNICIPAL DO CURIó;0360.33.1991;02001.121054/2017-80;LT em Corrente Contínua (CC) 800 kV Xingu;XINGU RIO TRANSMISSORA DE ENERGIA S.A;2000000;;2;;68;O;04/25/18
PARQUE NATURAL MUNICIPAL DO CURIó;0360.33.1991;02001.121054/2017-80;LT em Corrente Contínua (CC) 800 kV Xingu;XINGU RIO TRANSMISSORA DE ENERGIA S.A;800000;;3;;68;O;04/25/18
PARQUE ESTADUAL DA PEDRA SELADA;0000.33.2722;02001.121054/2017-80;LT em Corrente Contínua (CC) 800 kV Xingu;XINGU RIO TRANSMISSORA DE ENERGIA S.A;250000;;0;;68;O;04/25/18
PARQUE NATURAL MUNICIPAL BARãO DE MAUá;0250.33.2789;02001.003518/2016-96;PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO CARAGUATATUBA LAPA-NORDESTE;PETROBRAS;;100000;;3;68;O;04/25/18
PARQUE ESTADUAL DO MENDANHA;0000.33.2904;02001.121054/2017-80;LT em Corrente Contínua (CC) 800 kV Xingu;XINGU RIO TRANSMISSORA DE ENERGIA S.A;250000;;0;;68;O;04/25/18
PARQUE NATURAL MUNICIPAL VEREDAS DOS CARAJáS;0215.15.3163;02001.121054/2017-80;LT em Corrente Contínua (CC) 800 kV Xingu;XINGU RIO TRANSMISSORA DE ENERGIA S.A;200000;;3;;68;O;04/25/18
REFúGIO DE VIDA SILVESTRE TABULEIRO DO EMBAUBAL;0000.15.3478;02001.121054/2017-80;LT em Corrente Contínua (CC) 800 kV Xingu;XINGU RIO TRANSMISSORA DE ENERGIA S.A;800000;;0;;68;O;04/25/18
ÁREA DE PROTEÇÃO AMBIENTAL DO BOQUEIRÃO DA MIRA;5930.31.3727;02001.121054/2017-80;LT em Corrente Contínua (CC) 800 kV Xingu;XINGU RIO TRANSMISSORA DE ENERGIA S.A;500000;;2;;68;O;04/25/18
ÁREA DE PROTEÇÃO AMBIENTAL GUANDÚ-AÇU;0350.33.1872;02001.121054/2017-80;LT em Corrente Contínua (CC) 800 kV Xingu;XINGU RIO TRANSMISSORA DE ENERGIA S.A;500000;;2;;68;O;04/25/18
PARQUE ESTADUAL ALTAMIRO DE MOURA PACHECO;0000.52.0899;02001.001440/2017-56;Alteração de traçado do Pátio Santa Helena no lote 3S (km 281+500 ao km 284+100) da Extensão Sul da Ferrovia Norte Sul;VALEC - Engenharia, Construções e Ferrovias S.A.;;50000;;3;69;O;05/30/18
PARQUE ESTADUAL DE PARAÚNA;0000.52.1743;02001.001440/2017-56;Alteração de traçado do Pátio Santa Helena no lote 3S (km 281+500 ao km 284+100) da Extensão Sul da Ferrovia Norte Sul;VALEC - Engenharia, Construções e Ferrovias S.A.;;1150000;;1;69;O;05/30/18
PARQUE ESTADUAL DA SERRA DOURADA;0000.52.1745;02001.001440/2017-56;Alteração de traçado do Pátio Santa Helena no lote 3S (km 281+500 ao km 284+100) da Extensão Sul da Ferrovia Norte Sul;VALEC - Engenharia, Construções e Ferrovias S.A.;;350000;;3;69;O;05/30/18
ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA JIBÓIA;0000.52.1751;02001.001440/2017-56;Alteração de traçado do Pátio Santa Helena no lote 3S (km 281+500 ao km 284+100) da Extensão Sul da Ferrovia Norte Sul;VALEC - Engenharia, Construções e Ferrovias S.A.;;300000;;2;69;O;05/30/18
ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA JIBÓIA;0000.52.1751;02001.001440/2017-56;Alteração de traçado do Pátio Santa Helena no lote 3S (km 281+500 ao km 284+100) da Extensão Sul da Ferrovia Norte Sul;VALEC - Engenharia, Construções e Ferrovias S.A.;;150000;;3;69;O;05/30/18
PARQUE NATURAL MUNICIPAL DA GALHETA (FLORIANóPOLIS);0540.42.3159;02001.105055/2017-87;Teste de Longa Duração de Libra - FPSO Pioneiro de Libra;PETROBRAS;;100000;;2;69;O;05/30/18
PARQUE NATURAL MUNICIPAL DA GALHETA (FLORIANóPOLIS);0540.42.3159;02001.105055/2017-87;Teste de Longa Duração de Libra - FPSO Pioneiro de Libra;PETROBRAS;;175103,01;;3;69;O;05/30/18
PARQUE NATURAL MUNICIPAL DE SãO GONçALO;0490.33.3215;02001.006569/2016-70;SISTEMA DE PROD E ESC DE PETRÓLEO E GÁS NATURAL - C DE ESPADARTE E ÁREA LESTE DE MARIMBÁ - B CAMPOS;PETROBRAS;;200000;;3;69;O;05/30/18
MONUMENTO NATURAL DAS ILHAS CAGARRAS;0000.00.0034;02001.002589/2015-91;PERFURAÇÃO NOS BLOCOS BM-S-56/BM-S-57/BM-S-58/BM-S-59;PETROBRAS;110844,38;;0;;70;O;08/15/18
ESTAÇÃO ECOLÓGICA DE CARIJÓS;0000.00.0052;02001.002589/2015-91;PERFURAÇÃO NOS BLOCOS BM-S-56/BM-S-57/BM-S-58/BM-S-59;PETROBRAS;110844,38;;0;;70;O;08/15/18
ESTAÇÃO ECOLÓGICA DE GUARAQUEÇABA;0000.00.0054;02001.002589/2015-91;PERFURAÇÃO NOS BLOCOS BM-S-56/BM-S-57/BM-S-58/BM-S-59;PETROBRAS;110844,38;;0;;70;O;08/15/18
ESTAÇÃO ECOLÓGICA DE MARACÁ JIPIOCA;0000.00.0058;02001.002589/2015-91;PERFURAÇÃO NOS BLOCOS BM-S-56/BM-S-57/BM-S-58/BM-S-59;PETROBRAS;110844,38;;0;;70;O;08/15/18
ESTAÇÃO ECOLÓGICA DE TAMOIOS;0000.00.0063;02001.002589/2015-91;PERFURAÇÃO NOS BLOCOS BM-S-56/BM-S-57/BM-S-58/BM-S-59;PETROBRAS;110844,38;;0;;70;O;08/15/18
ESTAÇÃO ECOLÓGICA TUPINAMBÁS;0000.00.0064;02001.002589/2015-91;PERFURAÇÃO NOS BLOCOS BM-S-56/BM-S-57/BM-S-58/BM-S-59;PETROBRAS;110844,38;;0;;70;O;08/15/18
ESTAÇÃO ECOLÓGICA DO TAIM;0000.00.0070;02001.002589/2015-91;PERFURAÇÃO NOS BLOCOS BM-S-56/BM-S-57/BM-S-58/BM-S-59;PETROBRAS;110844,38;;0;;70;O;08/15/18
ESTAÇÃO ECOLÓGICA DOS TUPINIQUINS;0000.00.0071;02001.002589/2015-91;PERFURAÇÃO NOS BLOCOS BM-S-56/BM-S-57/BM-S-58/BM-S-59;PETROBRAS;110844,38;;0;;70;O;08/15/18
PARQUE NACIONAL DA LAGOA DO PEIXE;0000.00.0140;02001.002589/2015-91;PERFURAÇÃO NOS BLOCOS BM-S-56/BM-S-57/BM-S-58/BM-S-59;PETROBRAS;110844,38;;0;;70;O;08/15/18
PARQUE NACIONAL RESTINGA DE JURUBATIBA;0000.00.0141;02001.002589/2015-91;PERFURAÇÃO NOS BLOCOS BM-S-56/BM-S-57/BM-S-58/BM-S-59;PETROBRAS;110844,38;;0;;70;O;08/15/18
PARQUE NACIONAL DA SERRA DA BOCAINA;0000.00.0142;02001.002589/2015-91;PERFURAÇÃO NOS BLOCOS BM-S-56/BM-S-57/BM-S-58/BM-S-59;PETROBRAS;110844,38;;0;;70;O;08/15/18
PARQUE NACIONAL DA SERRA DA BOCAINA;0000.00.0142;02001.002589/2015-91;PERFURAÇÃO NOS BLOCOS BM-S-56/BM-S-57/BM-S-58/BM-S-59;PETROBRAS;;746753,51;;3;70;O;08/15/18
PARQUE NACIONAL DA SERRA DE ITABAIANA;0000.00.0147;02001.002589/2015-91;PERFURAÇÃO NOS BLOCOS BM-S-56/BM-S-57/BM-S-58/BM-S-59;PETROBRAS;110844,38;;0;;70;O;08/15/18
PARQUE NACIONAL DE JERICOACOARA;0000.00.0162;02001.002589/2015-91;PERFURAÇÃO NOS BLOCOS BM-S-56/BM-S-57/BM-S-58/BM-S-59;PETROBRAS;110844,38;;0;;70;O;08/15/18
PARQUE NACIONAL DE SAINT-HILAIRE/LANGE;0000.00.0164;02001.002589/2015-91;PERFURAÇÃO NOS BLOCOS BM-S-56/BM-S-57/BM-S-58/BM-S-59;PETROBRAS;110844,38;;0;;70;O;08/15/18
PARQUE NACIONAL DO CABO ORANGE;0000.00.0169;02001.002589/2015-91;PERFURAÇÃO NOS BLOCOS BM-S-56/BM-S-57/BM-S-58/BM-S-59;PETROBRAS;110844,38;;0;;70;O;08/15/18
PARQUE NACIONAL DO DESCOBRIMENTO;0000.00.0171;02001.002589/2015-91;PERFURAÇÃO NOS BLOCOS BM-S-56/BM-S-57/BM-S-58/BM-S-59;PETROBRAS;110844,38;;0;;70;O;08/15/18
PARQUE NACIONAL PAU BRASIL;0000.00.0176;02001.002589/2015-91;PERFURAÇÃO NOS BLOCOS BM-S-56/BM-S-57/BM-S-58/BM-S-59;PETROBRAS;110844,38;;0;;70;O;08/15/18
PARQUE NACIONAL DO SUPERAGUI;0000.00.0178;02001.102761/2017-77;Pré-Sal da Bacia de Santos - Etapa 2 - Gasoduto Lula Norte - Franco Noroeste (Trecho profundo II);PETROBRAS;1000000;;3;;70;O;08/15/18
PARQUE NACIONAL DO SUPERAGUI;0000.00.0178;02001.002589/2015-91;PERFURAÇÃO NOS BLOCOS BM-S-56/BM-S-57/BM-S-58/BM-S-59;PETROBRAS;110844,38;;0;;70;O;08/15/18
PARQUE NACIONAL DOS LENÇOIS MARANHENSES;0000.00.0180;02001.002589/2015-91;PERFURAÇÃO NOS BLOCOS BM-S-56/BM-S-57/BM-S-58/BM-S-59;PETROBRAS;110844,38;;0;;70;O;08/15/18
PARQUE NACIONAL DO MONTE PASCOAL;0000.00.0182;02001.002589/2015-91;PERFURAÇÃO NOS BLOCOS BM-S-56/BM-S-57/BM-S-58/BM-S-59;PETROBRAS;110844,38;;0;;70;O;08/15/18
PARQUE NACIONAL MARINHO DOS ABROLHOS;0000.00.0185;02001.002589/2015-91;PERFURAÇÃO NOS BLOCOS BM-S-56/BM-S-57/BM-S-58/BM-S-59;PETROBRAS;110844,38;;0;;70;O;08/15/18
PARQUE NACIONAL MAR. DE FERNANDO DE NORONHA;0000.00.0186;02001.002589/2015-91;PERFURAÇÃO NOS BLOCOS BM-S-56/BM-S-57/BM-S-58/BM-S-59;PETROBRAS;110844,38;;0;;70;O;08/15/18
PARQUE NACIONAL MONTANHAS DO TUMUCUMAQUE;0000.00.0187;02001.002589/2015-91;PERFURAÇÃO NOS BLOCOS BM-S-56/BM-S-57/BM-S-58/BM-S-59;PETROBRAS;110844,38;;0;;70;O;08/15/18
REFUGIO DE VIDA SILVESTRE ILHA DOS LOBOS;0000.00.0190;02001.002589/2015-91;PERFURAÇÃO NOS BLOCOS BM-S-56/BM-S-57/BM-S-58/BM-S-59;PETROBRAS;110844,38;;0;;70;O;08/15/18
RESERVA BIOLÓGICA DE COMBOIOS;0000.00.0195;02001.002589/2015-91;PERFURAÇÃO NOS BLOCOS BM-S-56/BM-S-57/BM-S-58/BM-S-59;PETROBRAS;110844,38;;0;;70;O;08/15/18
RESERVA BIOLÓGICA GUARIBAS;0000.00.0196;02001.002589/2015-91;PERFURAÇÃO NOS BLOCOS BM-S-56/BM-S-57/BM-S-58/BM-S-59;PETROBRAS;110844,38;;0;;70;O;08/15/18
RESERVA BIOLÓGICA DE SALTINHO;0000.00.0198;02001.002589/2015-91;PERFURAÇÃO NOS BLOCOS BM-S-56/BM-S-57/BM-S-58/BM-S-59;PETROBRAS;110844,38;;0;;70;O;08/15/18
RESERVA BIOLÓGICA DE SANTA ISABEL;0000.00.0199;02001.002589/2015-91;PERFURAÇÃO NOS BLOCOS BM-S-56/BM-S-57/BM-S-58/BM-S-59;PETROBRAS;110844,38;;0;;70;O;08/15/18
RESERVA BIOLÓGICA DE SOORETAMA;0000.00.0201;02001.002589/2015-91;PERFURAÇÃO NOS BLOCOS BM-S-56/BM-S-57/BM-S-58/BM-S-59;PETROBRAS;110844,38;;0;;70;O;08/15/18
RESERVA BIOLÓGICA DE UNA;0000.00.0202;02001.002589/2015-91;PERFURAÇÃO NOS BLOCOS BM-S-56/BM-S-57/BM-S-58/BM-S-59;PETROBRAS;110844,38;;0;;70;O;08/15/18
RESERVA BIOLÓGICA ATOL DAS ROCAS;0000.00.0203;02001.002589/2015-91;PERFURAÇÃO NOS BLOCOS BM-S-56/BM-S-57/BM-S-58/BM-S-59;PETROBRAS;110844,38;;0;;70;O;08/15/18
RESERVA BIOLÓGICA DO CÓRREGO GRANDE;0000.00.0205;02001.002589/2015-91;PERFURAÇÃO NOS BLOCOS BM-S-56/BM-S-57/BM-S-58/BM-S-59;PETROBRAS;110844,38;;0;;70;O;08/15/18
RESERVA BIOLÓGICA DO LAGO PIRATUBA;0000.00.0209;02001.002589/2015-91;PERFURAÇÃO NOS BLOCOS BM-S-56/BM-S-57/BM-S-58/BM-S-59;PETROBRAS;110844,38;;0;;70;O;08/15/18
RESERVA BIOLÓGICA DO TINGUÁ;0000.00.0212;02001.002589/2015-91;PERFURAÇÃO NOS BLOCOS BM-S-56/BM-S-57/BM-S-58/BM-S-59;PETROBRAS;110844,38;;0;;70;O;08/15/18
RESERVA BIOLÓGICA MARINHA DO ARVOREDO;0000.00.0214;02001.002589/2015-91;PERFURAÇÃO NOS BLOCOS BM-S-56/BM-S-57/BM-S-58/BM-S-59;PETROBRAS;110844,38;;0;;70;O;08/15/18
RESERVA BIOLÓGICA UNIÃO;0000.00.0217;02001.006624/2016-21;"PERFURAÇÃO MARÍTIMA - BLOCOS BM-S-61; 62; 69 E 70 - BACIA DE SANTOS";KAROON PETRÓLEO & GÁS LTDA;4690759,13;;1;;70;O;08/15/18
RESERVA BIOLÓGICA UNIÃO;0000.00.0217;02001.002589/2015-91;PERFURAÇÃO NOS BLOCOS BM-S-56/BM-S-57/BM-S-58/BM-S-59;PETROBRAS;110844,38;;0;;70;O;08/15/18
ESTAÇÃO ECOLÓGICA DA GUANABARA;0000.00.0263;02001.102761/2017-77;Pré-Sal da Bacia de Santos - Etapa 2 - Gasoduto Lula Norte - Franco Noroeste (Trecho profundo II);PETROBRAS;172463,2;;3;;70;O;08/15/18
